account_alias,date_trunc,net,a_reg_week,a_reg_status,n_regs,improper_format,probable_duplicate,approx_alexa
m2,2016-06-29,124.6.181.0/24,2015-03-02,email-clicked,1,f,f,19500
g1,2016-10-13,124.62.150.0/24,2015-03-02,unconfirmed,1,f,f,17000
g1,2016-02-04,125.160.237.0/24,2015-03-02,unconfirmed,1,f,f,17000
h1,2016-08-24,125.161.105.0/24,2015-11-23,email-clicked,1,f,f,17000
g1,2017-01-18,125.167.203.0/24,2015-03-02,unconfirmed,1,f,f,17000
n1,2016-08-28,125.230.205.0/24,2015-03-02,unconfirmed,1,f,f,11000
d1,2016-08-30,12.6.176.0/24,2015-03-02,email-clicked,1,f,f,20000
b1,2016-06-28,128.121.109.0/24,2015-03-02,unconfirmed,1,f,f,8000
m2,2016-08-09,128.199.245.0/24,2015-03-02,email-clicked,1,f,f,19500
d3,2017-01-14,128.71.156.0/24,2015-12-07,email-clicked,1,f,f,20000
m1,2016-12-12,130.105.70.0/24,2015-03-02,email-clicked,1,f,f,19500
l1,2016-12-31,130.193.180.0/24,2015-03-02,unconfirmed,1,f,f,10500
m1,2016-12-12,130.204.54.0/24,2015-03-02,email-clicked,1,f,f,19500
b1,2016-08-12,1.34.134.0/24,2015-03-02,unconfirmed,1,f,f,8000
b1,2016-08-12,1.34.134.0/24,2015-03-02,unconfirmed,1,f,f,8000
m1,2017-01-09,134.19.230.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-21,134.255.130.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-19,134.255.139.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-07-09,134.255.141.0/24,2015-03-02,email-clicked,1,f,f,19500
r2,2016-12-21,135.23.106.0/24,2016-01-18,email-clicked,2,f,f,22000
m2,2016-08-31,135.23.211.0/24,2015-03-02,email-clicked,1,f,f,19500
b1,2016-06-15,138.0.75.0/24,2015-03-02,unconfirmed,1,f,f,8000
b1,2016-06-15,138.0.75.0/24,2015-03-02,unconfirmed,1,f,t,8000
m2,2016-08-13,138.118.205.0/24,2015-03-02,email-clicked,1,f,f,19500
f1,2016-11-17,138.68.95.0/24,2015-03-02,email-clicked,1,f,f,18000
h2,2016-06-28,139.0.102.0/24,2016-05-16,manual,1,f,f,17000
r1,2016-10-31,139.192.223.0/24,2015-03-02,email-clicked,2,f,f,22000
m2,2016-09-01,139.195.33.0/24,2015-03-02,email-clicked,1,f,f,19500
c1,2016-04-12,13.94.47.0/24,2015-02-23,unconfirmed,1,f,f,5000
f1,2016-11-15,14.105.128.0/24,2015-03-02,email-clicked,1,f,f,18000
f1,2016-11-26,14.105.135.0/24,2015-03-02,email-clicked,1,f,f,18000
f1,2016-11-15,14.105.148.0/24,2015-03-02,email-clicked,1,f,f,18000
f1,2016-11-14,14.105.182.0/24,2015-03-02,email-clicked,1,f,f,18000
f1,2016-11-15,14.105.182.0/24,2015-03-02,email-clicked,1,f,f,18000
f1,2016-11-22,14.105.188.0/24,2015-03-02,email-clicked,1,f,f,18000
f1,2016-11-22,14.105.188.0/24,2015-03-02,email-clicked,1,f,t,18000
g1,2017-01-08,141.101.249.0/24,2015-03-02,unconfirmed,1,f,f,17000
m1,2016-11-10,141.101.249.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-09-06,141.101.249.0/24,2015-03-02,email-clicked,1,f,f,19500
m1,2016-10-10,141.101.249.0/24,2015-03-02,email-clicked,1,f,f,19500
f1,2016-12-09,141.101.249.0/24,2015-03-02,email-clicked,1,f,f,18000
g1,2017-01-12,141.101.249.0/24,2015-03-02,unconfirmed,1,f,f,17000
m2,2016-08-05,141.101.249.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-09-06,141.101.249.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-21,141.105.141.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-21,141.105.141.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-21,141.105.141.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-21,141.105.141.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-22,141.105.141.0/24,2015-03-02,email-clicked,1,f,f,19500
m1,2016-07-12,14.140.221.0/24,2015-03-02,email-clicked,1,f,f,19500
m1,2017-01-12,14.141.55.0/24,2015-03-02,email-clicked,1,f,f,19500
m1,2017-01-09,14.142.22.0/24,2015-03-02,email-clicked,1,f,f,19500
m1,2017-01-12,14.161.17.0/24,2015-03-02,email-clicked,1,f,f,19500
m1,2017-01-12,14.161.22.0/24,2015-03-02,email-clicked,1,f,f,19500
m1,2017-01-09,14.161.46.0/24,2015-03-02,email-clicked,1,f,f,19500
m1,2017-01-09,14.161.5.0/24,2015-03-02,email-clicked,1,f,f,19500
i2,2016-08-12,14.166.130.0/24,2015-02-16,unconfirmed,1,f,f,7000
g1,2016-02-04,14.172.2.0/24,2015-03-02,unconfirmed,1,f,f,17000
h1,2016-09-23,14.176.191.0/24,2015-11-23,email-clicked,1,f,f,17000
b1,2016-06-22,14.176.203.0/24,2015-03-02,unconfirmed,1,f,f,8000
i2,2016-02-18,14.177.147.0/24,2015-02-16,unconfirmed,1,f,f,7000
b1,2016-06-29,14.182.108.0/24,2015-03-02,unconfirmed,1,f,f,8000
i2,2016-07-12,14.183.62.0/24,2015-02-16,unconfirmed,1,f,f,7000
i2,2016-07-12,14.183.62.0/24,2015-02-16,unconfirmed,1,f,f,7000
h2,2016-06-27,14.184.180.0/24,2016-05-16,manual,1,f,f,17000
h1,2016-09-06,14.184.189.0/24,2015-11-23,email-clicked,1,f,f,17000
i2,2016-08-31,14.185.32.0/24,2015-02-16,unconfirmed,1,f,f,7000
h2,2016-09-22,14.186.13.0/24,2016-05-16,manual,1,f,f,17000
b1,2016-06-24,14.186.77.0/24,2015-03-02,unconfirmed,1,f,f,8000
g1,2017-01-21,14.188.129.0/24,2015-03-02,unconfirmed,1,f,f,17000
i2,2016-09-01,14.189.153.0/24,2015-02-16,unconfirmed,1,f,f,7000
b1,2016-06-19,14.192.215.0/24,2015-03-02,unconfirmed,1,f,f,8000
m1,2016-08-06,14.36.1.0/24,2015-03-02,email-clicked,1,f,f,19500
m1,2016-08-06,14.36.1.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-15,145.255.172.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-15,145.255.172.0/24,2015-03-02,email-clicked,1,f,f,19500
g2,2017-01-26,146.0.237.0/24,2015-03-02,unconfirmed,1,f,f,17000
h2,2016-09-12,146.232.240.0/24,2016-05-16,manual,1,f,f,17000
h1,2016-08-23,1.46.37.0/24,2015-11-23,email-clicked,1,f,f,17000
g1,2017-01-22,147.30.59.0/24,2015-03-02,unconfirmed,1,f,f,17000
m2,2016-08-14,148.251.181.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-14,148.251.181.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-08-14,148.251.181.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-08-14,148.251.181.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-14,148.251.181.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-08-14,148.251.181.0/24,2015-03-02,email-clicked,1,f,t,19500
d3,2016-10-15,148.251.181.0/24,2015-12-07,email-clicked,1,f,f,20000
m2,2016-08-02,149.154.64.0/24,2015-03-02,email-clicked,1,f,f,19500
g1,2016-02-04,149.255.212.0/24,2015-03-02,unconfirmed,1,f,f,17000
i2,2016-08-08,149.255.234.0/24,2015-02-16,unconfirmed,1,f,f,7000
g2,2016-12-04,149.255.36.0/24,2015-03-02,unconfirmed,1,f,f,17000
b1,2016-07-21,150.129.150.0/24,2015-03-02,unconfirmed,1,f,f,8000
g1,2017-01-22,151.0.52.0/24,2015-03-02,unconfirmed,1,f,f,17000
m2,2016-08-14,151.247.148.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-09-05,1.52.122.0/24,2015-03-02,email-clicked,1,f,f,19500
b1,2016-06-18,1.52.126.0/24,2015-03-02,unconfirmed,1,f,f,8000
i1,2016-03-20,152.250.196.0/24,2015-02-23,unconfirmed,1,f,f,7000
b1,2016-11-27,152.8.25.0/24,2015-03-02,unconfirmed,1,f,f,8000
m2,2016-06-04,153.19.108.0/24,2015-03-02,email-clicked,1,f,f,19500
i2,2016-09-02,1.53.205.0/24,2015-02-16,unconfirmed,1,f,f,7000
m1,2017-01-09,153.35.192.0/24,2015-03-02,email-clicked,1,f,f,19500
n1,2017-01-02,153.99.65.0/24,2015-03-02,unconfirmed,1,f,f,11000
d3,2017-01-15,1.54.220.0/24,2015-12-07,email-clicked,1,f,f,20000
g1,2016-02-04,154.70.49.0/24,2015-03-02,unconfirmed,1,f,f,17000
i1,2016-08-21,1.55.177.0/24,2015-02-23,unconfirmed,1,f,f,7000
d2,2015-12-26,155.223.73.0/24,2015-03-02,email-clicked,1,f,f,20000
f1,2016-12-05,155.4.231.0/24,2015-03-02,email-clicked,1,f,f,18000
g2,2016-03-26,156.198.158.0/24,2015-03-02,unconfirmed,1,f,f,17000
r1,2016-10-29,156.209.68.0/24,2015-03-02,email-clicked,2,f,f,22000
m1,2016-12-12,157.50.206.0/24,2015-03-02,email-clicked,1,f,f,19500
m1,2017-01-12,159.203.95.0/24,2015-03-02,email-clicked,1,f,f,19500
b1,2016-07-30,160.109.234.0/24,2015-03-02,unconfirmed,1,f,f,8000
b1,2016-07-30,160.109.234.0/24,2015-03-02,unconfirmed,1,f,t,8000
m1,2017-01-09,161.0.62.0/24,2015-03-02,email-clicked,1,f,f,19500
b1,2015-08-07,162.104.221.0/24,2015-03-02,unconfirmed,1,f,f,8000
b1,2015-08-07,162.104.221.0/24,2015-03-02,unconfirmed,1,f,t,8000
b1,2015-08-07,162.104.221.0/24,2015-03-02,unconfirmed,1,f,t,8000
g1,2016-08-30,162.209.96.0/24,2015-03-02,unconfirmed,1,f,f,17000
m2,2016-07-02,162.219.178.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-07-02,162.219.178.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-07-02,162.219.178.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-07-02,162.219.178.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-08-10,162.219.178.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-10,162.219.178.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-08-17,162.219.179.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-17,162.219.179.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-09-05,162.221.204.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-09-05,162.221.204.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-09-06,162.221.204.0/24,2015-03-02,email-clicked,1,f,f,19500
m1,2016-05-30,162.222.227.0/24,2015-03-02,email-clicked,1,f,f,19500
